WLTP DRIVE CYCLE,
time (s),Velocity (mps)
0,0
1,0
2,0
3,0
4,0
5,0
6,0
7,0
8,0
9,0
10,0
11,0
12,0
13,0.3333336
14,0.7222228
15,1.3611122
16,2.0277794
17,2.6111132
18,3.1666692
19,3.5277806
20,3.6944474
21,3.7222252
22,3.6944474
23,3.6388918
24,3.472225
25,3.0833358
26,2.4722242
27,1.7222236
28,1.0555564
29,0.5000004
30,0
31,0
32,0
33,0
34,0.416667
35,0.7777784
36,1.0555564
37,1.2777788
38,1.4722234
39,1.6944458
40,1.8333348
41,2.0000016
42,2.1944462
43,2.4166686
44,2.5833354
45,2.77778
46,2.9722246
47,3.194447
48,3.4166694
49,3.6944474
50,3.9444476
51,4.1111144
52,4.0833366
53,4.0000032
54,3.9166698
55,3.7777808
56,3.5833362
57,3.333336
58,3.0833358
59,2.916669
60,2.8611134
61,2.916669
62,2.8333356
63,2.5555576
64,1.944446
65,1.3333344
66,0.6388894
67,0
68,0
69,0
70,0
71,0
72,0
73,0
74,0
75,0
76,0
77,0
78,0
79,0
80,0
81,0
82,0
83,0
84,0
85,0
86,0
87,0
88,0
89,0
90,0
91,0
92,0
93,0
94,0
95,0
96,0
97,0
98,0
99,0
100,0
101,0
102,0
103,0
104,0
105,0
106,0
107,0.2222224
108,0.3888892
109,0.6388894
110,0.972223
111,1.3055566
112,1.6388902
113,2.0555572
114,2.5555576
115,3.2500026
116,3.750003
117,4.16667
118,4.5000036
119,4.6666704
120,4.861115
121,5.2222264
122,5.6388934
123,6.111116
124,6.5555608
125,6.8888944
126,7.1111168
127,7.3055614
128,7.5555616
129,7.8611174
130,8.2222288
131,8.5833402
132,8.9444516
133,9.2777852
134,9.7500078
135,10.3333416
136,10.7500086
137,10.833342
138,10.3888972
139,9.4166742
140,8.2500066
141,7.4444504
142,7.2500058
143,7.5555616
144,8.0833398
145,8.5555624
146,8.8611182
147,8.888896
148,8.5277846
149,7.916673
150,7.222228
151,6.5000052
152,5.7500046
153,4.8333372
154,4.2222256
155,3.750003
156,3.611114
157,3.4444472
158,3.4166694
159,3.3888916
160,3.4166694
161,3.4444472
162,3.472225
163,3.5000028
164,3.5277806
165,3.5833362
166,3.8611142
167,4.5000036
168,5.3611154
169,6.3333384
170,7.1944502
171,7.916673
172,8.33334
173,8.0833398
174,7.6111172
175,7.0000056
176,6.6111164
177,6.7777832
178,7.222228
179,8.2222288
180,8.9444516
181,9.861119
182,10.4444528
183,10.972231
184,11.2777868
185,11.527787
186,11.666676
187,11.7777872
188,11.944454
189,12.2777876
190,12.7500102
191,13.2500106
192,13.6666776
193,13.8889
194,13.9444556
195,13.9166778
196,13.8333444
197,13.7222332
198,13.5833442
199,13.472233
200,13.3888996
201,13.3888996
202,13.3611218
203,13.1666772
204,12.7222324
205,12.0000096
206,11.250009
207,10.6111196
208,10.1944526
209,9.9444524
210,9.8055634
211,9.6666744
212,9.5555632
213,9.5277854
214,9.444452
215,9.3888964
216,9.3333408
217,9.305563
218,9.305563
